,X235046_at
276,6.40911186191719
277,5.74614201566668
278,6.13828755502824
279,5.52597075681069
280,7.2764891593429
281,4.97456702384449
282,7.08417474837329
283,7.20837932239923
284,8.00965964091239
285,5.52037869191678
286,5.69520042816577
287,6.60683887463226
288,5.09499406138532
289,5.35227451892383
290,5.67063188322365
291,7.39462834444601
292,5.47161280115697
293,5.62080245199782
294,5.64381750382246
295,5.04727430986235
296,7.29724345609941
297,5.65765746774147
298,5.66801665612419
299,5.14588375949098
300,7.97422176173218
301,7.48347439220265
302,5.35078646784589
303,5.56674573599825
304,7.81071415715642
305,7.84876490446644
306,5.56030410095026
307,5.65163831807401
308,8.92016151498892
309,5.96730977825455
310,6.10222613785919
311,8.86403336295302
312,6.48989344389767
313,8.22585315481246
314,6.94998434458951
315,5.63292410026674
316,5.72529386288483
317,8.92304834977326
318,6.46071685683419
319,5.82293702970794
320,6.13642217916546
321,6.9358205223046
322,5.5503429324489
323,5.81366721825515
324,9.11903382313887
325,7.98210375784321
326,8.97634117655919
327,5.34135329704394
328,6.69985247913839
329,9.10406419418553
330,9.3511821677373
331,9.5452334578421
332,8.35853496548136
333,5.08122391351979
334,7.50205770943133
335,5.42912829049201
336,5.48357664849798
337,8.29812022896452
338,5.86106757604635
339,4.97457654886395
340,5.81601970012182
341,6.58756944954135
342,7.61829758332789
343,5.07349185742552
344,10.2066374918459
345,7.21094823836441
346,7.1487664176425
347,5.38365421231969
348,5.40598984907391
349,5.46861026235516
350,5.58709001923779
351,9.48259829155347
352,5.2715120232942
353,6.50260220490754
354,5.93675381332395
355,5.83532382586527
356,6.16642879709015
357,7.22145457686966
358,6.29695207938564
359,7.29164334733424
360,6.26327544067327
361,6.25472007732563
362,6.03202132825116
363,5.316573166084
364,5.86949843829292
365,5.7590660077713
366,7.02056196193823
367,8.58346877104415
368,6.64686168643245
369,8.61014826249914
370,6.71906478358435
371,6.96979289950082
372,6.61558530533937
373,10.4969529206129
374,10.2260824105259
375,6.43615793225686
376,7.85902529539571
377,6.62400335675316
378,7.23417320363371
379,8.84575588621741
380,10.0236178526726
381,7.34095866788818
382,6.22346558820868
383,6.78773795937622
384,5.9955164952973
385,7.02147343066566
386,6.91202583824621
387,7.64142393539073
388,7.79816489762086
389,5.7406607651486
390,5.44743818173471
391,8.16477408412909
392,9.17693072554201
393,6.23066502971975
394,7.58037578361858
395,5.68681781678491
396,7.34230082278783
397,8.1991656994673
398,6.89373694726834
399,5.79474928554786
400,5.53703163196558
401,5.91990637288974
402,5.75870302914953
403,5.16723662405809
404,7.69338580066222
405,7.49134114795113
406,5.8581009345614
407,9.61097140475696
408,6.12949271467735
409,8.43636932021781
410,6.41013904647148
411,9.50416427354896
412,9.63443587790087
413,6.08130512803581
414,5.94396268477969
415,7.72427855758052
416,7.30882768091285
417,5.82876927874205
418,9.16873559952255
419,5.7716004370642
420,7.21294177915862
421,8.88748935998067
422,6.18937688581202
423,6.58882686333355
424,6.50202486033301
425,6.75303533591677
426,7.0780825546834
427,5.86913791143805
428,6.16533554556462
429,5.70144537879564
430,7.4104042881183
431,7.67466849333665
432,8.25959362921018
433,5.3637991613724
434,5.24087162619737
435,7.78726301280492
436,6.21836502240122
437,7.59169708826815
438,5.32483459450851
439,5.88323645370859
440,9.12213008106785
441,5.82716182840237
442,10.3307667583269
443,7.89625154702572
444,5.94789238935767
445,6.95928329457004
446,5.90698280057272
